model_name,.estimator,rmse,rsq,mae,rank,rmse_improvement
RandomForest_Full,standard,20.839326986374914,0.969381797430987,16.18923573082011,1,82.4
Lasso_Full,standard,27.497667949804057,0.9465245772429666,21.83990456987755,2,76.8
Linear_Full,standard,27.522406465450945,0.9464510078283096,21.876607679489656,3,76.8
Ridge_Full,standard,28.59147085362711,0.9451583577550393,23.133778240855946,4,75.9
Linear_Temporal,standard,30.06648983073196,0.9361761359699027,24.117473971518063,5,74.6
Linear_Weather,standard,118.4672882055381,0.007649497428095183,97.59738556260473,6,0
